timestamp,Channel 1
5.0,13.0
14.0,61.0
54.0,96.0
15748.0,14748.0
15750.0,17164.0
15752.0,18167.0
15754.0,17765.0
15756.0,16218.0
15758.0,13735.0
15760.0,11084.0
15762.0,9588.0
15764.0,9953.0
15766.0,11876.0
15768.0,14743.0
15770.0,17129.0
15772.0,18123.0
15774.0,17739.0
15776.0,16198.0
15778.0,13718.0
15780.0,11073.0
15782.0,9571.0
15784.0,9928.0
15786.0,11841.0
15788.0,14693.0
15790.0,17092.0
15792.0,18101.0
15794.0,17721.0
15796.0,16175.0
15798.0,13696.0
15800.0,11061.0
15802.0,9573.0
15804.0,9879.0
15806.0,11763.0
15808.0,14619.0
15810.0,17038.0
15812.0,18046.0
15814.0,17654.0
15816.0,16112.0
15818.0,13651.0
15820.0,11021.0
15822.0,9538.0
15824.0,9895.0
15826.0,11804.0
15828.0,14618.0
15830.0,16973.0
15832.0,17968.0
15834.0,17592.0
15836.0,16062.0
15838.0,13623.0
15840.0,11032.0
15842.0,9566.0
15844.0,9909.0
15846.0,11806.0
15848.0,14607.0
15850.0,16949.0
15852.0,17936.0
15854.0,17556.0
15856.0,16046.0
15858.0,13624.0
15860.0,11047.0
15862.0,9586.0
15864.0,9918.0
15866.0,11757.0
15868.0,14499.0
15870.0,16864.0
15872.0,17884.0
15874.0,17524.0
15876.0,16032.0
15878.0,13643.0
15880.0,11089.0
15882.0,9637.0
15884.0,9919.0
15886.0,11671.0
15888.0,14338.0
15890.0,16719.0
15892.0,17873.0
15894.0,17567.0
15896.0,16094.0
15898.0,13717.0
15900.0,11158.0
15902.0,9686.0
15904.0,9996.0
15906.0,11801.0
15908.0,14569.0
15910.0,16984.0
15912.0,18039.0
15914.0,17711.0
15916.0,16225.0
15918.0,13793.0
15920.0,11169.0
15922.0,9653.0
15924.0,9971.0
15926.0,11866.0
15928.0,14728.0
15930.0,17161.0
15932.0,18203.0
15934.0,17849.0
15936.0,16327.0
15938.0,13864.0
15940.0,11207.0
15942.0,9676.0
15944.0,9993.0
15946.0,11894.0
15948.0,14749.0
15950.0,17177.0
15952.0,18215.0
15954.0,17853.0
15956.0,16326.0
15958.0,13863.0
15960.0,11228.0
15962.0,9712.0
15964.0,10014.0
15966.0,11843.0
15968.0,14644.0
15970.0,17074.0
